# X    U     P    rho
0.669 0 404400 4.696
0.67 0 404400 4.696
0.671 0 404400 4.696
0.672 0 404400 4.696
0.673 0 404400 4.696
0.674 0 404400 4.696
0.675 0 404400 4.696
0.676 0 404400 4.696
0.677 0 404400 4.696
0.678 0 404400 4.696
0.679 0 404400 4.696
0.68 0 404400 4.696
0.681 0 404400 4.696
0.682 0 404400 4.696
0.683 0 404400 4.696
0.684 0 404400 4.696
0.685 0 404400 4.696
0.686 0 404400 4.696
0.687 0 404400 4.696
0.688 0 404400 4.696
0.689 0 404400 4.696
0.69 0 404400 4.696
0.691 0 404400 4.696
0.692 0 404400 4.696
0.693 0 404400 4.696
0.694 0 404400 4.696
0.695 0 404400 4.696
0.696 0 404400 4.696
0.697 0 404400 4.696
0.698 0 404400 4.696
0.699 0 404400 4.696
0.7 0 404400 4.696
0.701 0 404400 4.696
0.702 0 404400 4.696
0.703 0 404400 4.696
0.704 0 404400 4.696
0.705 0 404400 4.696
0.706 0 404400 4.696
0.707 0 404400 4.696
0.708 0 404400 4.696
0.709 0 404400 4.696
0.71 0 404400 4.696
0.711 0 404400 4.696
0.712 0 404400 4.696
0.713 0 404400 4.696
0.714 0 404400 4.696
0.715 0 404400 4.696
0.716 0 404400 4.696
0.717 0 404400 4.696
0.718 0 404400 4.696
0.719 0 404400 4.696
0.72 0 404400 4.696
0.721 0 404400 4.696
0.722 0 404400 4.696
0.723 0 404400 4.696
0.724 0 404400 4.696
0.725 0 404400 4.696
0.726 0 404400 4.696
0.727 0 404400 4.696
0.728 0 404400 4.696
0.729 0 404400 4.696
0.73 0 404400 4.696
0.731 0 404400 4.696
0.732 0 404400 4.696
0.733 0 404400 4.696
0.734 0 404400 4.696
0.735 0 404400 4.696
0.736 0 404400 4.696
0.737 0 404400 4.696
0.738 0 404400 4.696
0.739 0 404400 4.696
0.74 0 404400 4.696
0.741 0 404400 4.696
0.742 0 404400 4.696
0.743 0 404400 4.696
0.744 0 404400 4.696
0.745 0 404400 4.696
0.746 0 404400 4.696
0.747 0 404400 4.696
0.748 0 404400 4.696
0.749 0 404400 4.696
0.75 0 404400 4.696
0.751 0 404400 4.696
0.752 0 404400 4.696
0.753 0 404400 4.696
0.754 0 404400 4.696
0.755 0 404400 4.696
0.756 0 404400 4.696
0.757 0 404400 4.696
0.758 0 404400 4.696
0.759 0 404400 4.696
0.76 0 404400 4.696
0.761 0 404400 4.696
0.762 0 404400 4.696
0.763 0 404400 4.696
0.764 0 404400 4.696
0.765 0 404400 4.696
0.766 0 404400 4.696
0.767 0 404400 4.696
0.768 0 404400 4.696
0.769 0 404400 4.696
0.77 0 404400 4.696
0.771 0 404400 4.696
0.772 0 404400 4.696
0.773 0 404400 4.696
0.774 0 404400 4.696
0.775 0 404400 4.696
0.776 0 404400 4.696
0.777 0 404400 4.696
0.778 0 404400 4.696
0.779 0 404400 4.696
0.78 0 404400 4.696
0.781 0 404400 4.696
0.782 0 404400 4.696
0.783 0 404400 4.696
0.784 0 404400 4.696
0.785 0 404400 4.696
0.786 0 404400 4.696
0.787 0 404400 4.696
0.788 0 404400 4.696
0.789 0 404400 4.696
0.79 0 404400 4.696
0.791 0 404400 4.696
0.792 0 404400 4.696
0.793 0 404400 4.696
0.794 0 404400 4.696
0.795 0 404400 4.696
0.796 0 404400 4.696
0.797 0 404400 4.696
0.798 0 404400 4.696
0.799 0 404400 4.696
0.8 0 404400 4.696
0.801 0 404400 4.696
0.802 0 404400 4.696
0.803 0 404400 4.696
0.804 0 404400 4.696
0.805 0 404400 4.696
0.806 0 404400 4.696
0.807 0 404400 4.696
0.808 0 404400 4.696
0.809 0 404400 4.696
0.81 0 404400 4.696
0.811 0 404400 4.696
0.812 0 404400 4.696
0.813 0 404400 4.696
0.814 0 404400 4.696
0.815 0 404400 4.696
0.816 0 404400 4.696
0.817 0 404400 4.696
